CONTROL_ROM_EDITION,TERMINAL_TYPE,DESCRIPTION,REFERENCE,REFERENCE2
NLD1X01,1,MTR 2.12 Coin Basic - Phone 1,ARMENKI,
NLD1X02,2,MTR 2.12 Coin Basic - Standard,ARMENKI,
NLA1X06,3,MTR 2.12 MULTIPAY - STANDARD,ARMENKI,
NOA1X01,5,MTR 2.12 TTY MULTIPAY,ARMENKI,
NOA1X02,5,MTR 2.12 TTY MULTIPAY,ARMENKI,
NOA1X03,5,MTR 2.12 TTY MULTIPAY,ARMENKI,
NNA1F01,6,MTR 1.9 English/French M/P TTY,ARMENKI,
NNA1F02,6,MTR 1.9 English/French M/P TTY,ARMENKI,
NQA1X01,7,MTR 2.20 MultiPay No Datajack,ARMENKI,
12AAV03,8,TEST SET-UP FOR TYPE 4,ARMENKI,
06BDB02,9,DeskTop MSR 1.6S,ARMENKI,
12ABF08,9,MSR1.6,ARMENKI,
12ABF09,9,MSR 1.6,ARMENKI,
12ABF10,9,MSR1.6,ARMENKI,
12ABX11,9,MTR 1.6 SMART CARD,ARMENKI,
12ABX12,9,Multipay Multicard E/F,MUCCC,
NNK1F02,10,MTR 1.13 English/French M/P TTY Keyboard,ARMENKI,
NNK1F03,10,MTR 1.13 English/French M/P TTY Keyboard,ARMENKI,
NNK1F04,10,MTR 1.13 English/French M/P TTY Keyboard,ARMENKI,
NNK1F05,10,MTR 1.13 English/French M/P TTY Keyboard,ARMENKI,
NNK1F06,10,MTR 1.13 English/French M/P TTY Keyboard,ARMENKI,
06BDB02,11,MSR1.6S DESKTOP TERMINAL,ARMENKI,
06BDH01,11,MSR1.6S Desktop,ARMENKI,
06CDB01,11,MSR1.7 Desktop - version 1,ARMENKI,
06CBBX1,12,MTR 1.7 English/Spanish MAG/CHIP,ARMENKI,
06CNB02,12,MTR 1.7 Card for Bosnia (DD),ARMENKI,
06CND02,12,Macedonia English/Spanish Chip,ARMENKI,
06COD01,12,TURKEY English/French CHIP/MAG 1.7,ARMENKI,
06KBB03,12,Card Only 1.7 Firmware (ch),ARMENKI,
06KBB04,12,MTR1.7 English/French Card (DD-Wirless),ARMENKI,
06KOB01,12,Turkey English/French Mag/Chip 1.7,ARMENKI,
NAE1S02,12,MTR1.7 English/Spanish MAG/CHIP,ARMENKI,
06CAAXX,13,Universal MSR 1.7,ARMENKI,
06CAA06,13,MSR 1.7 Smart Card,ARMENKI,
06CAA07,13,msr 1.7 Smart Card,ARMENKI,
06CAA09,13,MTR1.7 MULTIPAY VERSION 9,ARMENKI,
06CAA10,13,MSR1.7 Multi-Pay version 10,ARMENKI,MUCCC
06CAA14,13,MSR1.7 Multipay - version 14,ARMENKI,
06CAA17,13,MSR1.7 Multipay - version 17,ARMENKI,MUCCC
06CAA88,13,Bell Multipay English/French Smart (GG),ARMENKI,
06CAF01,13,MSR1.7 Coin/Mag,ARMENKI,
06CAF02,13,MSR1.7 Coin/Mag ver. 2,ARMENKI,
06CAF03,13,1.7 English/Spanish Multipay Mag.,ARMENKI,MUCCC
06CAF88,13,Bell Multipay English/French Mag (GG),ARMENKI,
06CFA01,14,Multipay Multicard E/S,,MUCCC
06CFA02,13,UNIVERSAL MSR1.7-IAS,ARMENKI,FCA
06CPA00,13,MSR 1.7 Japanese,ARMENKI,
06CPA01,13,MSR1.7 Multi-Pay Japanese,ARMENKI,
06JAA02,13,MSR1.7 Multipay multicard English/Japanese,ARMENKI,
06JAA03,13,MTR1.7 MP/MC English/Japanese,ARMENKI,
06KAA01,13,VTel 1.7 cash card,ARMENKI,
06KAA89,13,Bell Multipay English/French 1.7 Smart (GG),ARMENKI,
06KAF01,13,MSR1.7 M/P mag only - french,ARMENKI,
06KAF89,13,Bell Multipay English/French 1.7 Mag (GG),ARMENKI,
12AAV07,13,MSR1.7 Multi-Pay,ARMENKI,
12AAV08,13,MSR1.7 Multi-Pay MUCCC,MUCCC,
12ABF10,13,MSR1.7,ARMENKI,
NAA1S03,13,MTR1.7 MP/MC WITH DATAJACK English/Spanish,ARMENKI,
NNA1F04,6,MTR 1.9 English/French M/P TTY,ARMENKI,
06CAA13,13,Firmware for IAS:Bell demo (GG),ARMENKI,
NOA1X04,5,MTR 2.12 TTY MULTIPAY,ARMENKI,
06CAA08,13,MSR1.7 Universal,ARMENKI,
NAA1S05,14,MTR1.7 MP/MC WITH DATAJACK English/Spanish,ARMENKI,
06CND01,12,MACEDONIAN CARD ONLY,ARMENKI,
00CDF00,15,MSR 1.7 - Generic,ARMENKI,
06CBB01,12,MTR1.7 NT English/Spanish MAG/CHIP,ARMENKI,
